n,knob_mf,knob_sl,knob_sf,knob_ift,knob_sft,knob_dt,time,error
95,1000,8,1.05,30,15,60,0.0488201803,0.071679
96,1000,2,1.2,20,7,40,0.0542278005,0.095191
97,1000,2,1.2,20,7,20,0.0452014127,0.095281
98,1000,2,1.2,20,7,60,0.0489309365,0.093833
99,1000,2,1.2,20,3,40,0.0681017925,0.094146
100,1000,2,1.2,20,3,20,0.0632116417,0.098049
101,1000,2,1.2,20,3,60,0.0693481939,0.095197
102,1000,2,1.2,20,15,40,0.0292433673,0.741391
103,1000,2,1.2,20,15,20,0.0228420091,0.735244
104,1000,2,1.2,20,15,60,0.0259866429,0.756626
105,1000,2,1.2,10,7,40,0.0550932925,0.101119
106,1000,2,1.2,10,7,20,0.0494540102,0.097089
107,1000,2,1.2,10,7,60,0.0589582324,0.096721
108,1000,2,1.2,10,3,40,0.0670467925,0.09576
109,1000,2,1.2,10,3,20,0.0614057528,0.092404
110,1000,2,1.2,10,3,60,0.0690537007,0.092943
111,1000,2,1.2,30,7,40,0.0560675351,0.09627
112,1000,2,1.2,30,7,20,0.050061432,0.097587
113,1000,2,1.2,30,7,60,0.0558485476,0.094916
114,1000,2,1.2,30,3,40,0.0755329354,0.093232
115,1000,2,1.2,30,3,20,0.0612640023,0.092014
116,1000,2,1.2,30,3,60,0.0708116485,0.08785
117,1000,2,1.2,30,15,40,0.022697195,0.724856
118,1000,2,1.2,30,15,20,0.021531941,0.726005
119,1000,2,1.2,30,15,60,0.0239491973,0.732803
120,1000,2,1.1,20,7,40,0.0514699297,0.100017
121,1000,2,1.1,20,7,20,0.0477091689,0.093903
122,1000,2,1.1,20,7,60,0.051543076,0.094646
123,1000,2,1.1,20,3,40,0.0693882392,0.095221
124,1000,2,1.1,20,3,20,0.0625205147,0.092942
125,1000,2,1.1,20,3,60,0.0697050975,0.09268
126,1000,2,1.1,20,15,40,0.0289819909,0.741999
127,1000,2,1.1,20,15,20,0.0234714955,0.733101
128,1000,2,1.1,20,15,60,0.0249989626,0.732394
129,1000,2,1.1,10,7,40,0.0617263741,0.101178
130,1000,2,1.1,10,7,20,0.0406115918,0.585237
131,1000,2,1.1,10,7,60,0.0588746327,0.096138
132,1000,2,1.1,10,3,40,0.0698167415,0.096779
133,1000,2,1.1,10,3,20,0.0600851939,0.091891
134,1000,2,1.1,10,3,60,0.0676962154,0.09327
135,1000,2,1.1,30,7,40,0.0611262868,0.099064
136,1000,2,1.1,30,7,20,0.05260711,0.095094
137,1000,2,1.1,30,7,60,0.0588111213,0.095983
138,1000,2,1.1,30,3,40,0.0649955408,0.093276
139,1000,2,1.1,30,3,20,0.0631652676,0.091636
140,1000,2,1.1,30,3,60,0.0678634626,0.092645
141,1000,2,1.1,30,15,40,0.022326407,0.730688
142,1000,2,1.1,30,15,20,0.0208620238,0.726744
143,1000,2,1.1,30,15,60,0.0248743277,0.736649
144,1000,2,1.3,20,7,40,0.0553624626,0.094532
145,1000,2,1.3,20,7,20,0.0474686655,0.0926
146,1000,2,1.3,20,7,60,0.0485811916,0.09708
147,1000,2,1.3,20,3,40,0.0770752698,0.09852
148,1000,2,1.3,20,3,20,0.0625977744,0.091312
149,1000,2,1.3,20,3,60,0.0717817245,0.090706
150,1000,2,1.3,20,15,40,0.0273903243,0.746814
151,1000,2,1.3,20,15,20,0.0228717245,0.727649
152,1000,2,1.3,20,15,60,0.0273943277,0.749255
153,1000,2,1.3,10,7,40,0.0578784252,0.09894
154,1000,2,1.3,10,7,20,0.0514814433,0.09766
155,1000,2,1.3,10,7,60,0.0570507528,0.093197
156,1000,2,1.3,10,3,40,0.0710214966,0.092992
157,1000,2,1.3,10,3,20,0.0636705896,0.095832
158,1000,2,1.3,10,3,60,0.071620941,0.092619
159,1000,2,1.3,30,7,40,0.0625977653,0.097272
160,1000,2,1.3,30,7,20,0.0526504093,0.096649
161,1000,2,1.3,30,7,60,0.0557515272,0.092541
162,1000,2,1.3,30,3,40,0.0724611565,0.097283
163,1000,2,1.3,30,3,20,0.0629041973,0.09202
164,1000,2,1.3,30,3,60,0.0776233821,0.093358
165,1000,2,1.3,30,15,40,0.0232876531,0.725957
166,1000,2,1.3,30,15,20,0.0197127619,0.726014
167,1000,2,1.3,30,15,60,0.024200178,0.721699
168,1000,2,1.5,20,7,40,0.0521000204,0.102976
169,1000,2,1.5,20,7,20,0.0475560601,0.096269
170,1000,2,1.5,20,7,60,0.0498073481,0.094591
171,1000,2,1.5,20,3,40,0.076607517,0.095134
172,1000,2,1.5,20,3,20,0.0680534524,0.094422
173,1000,2,1.5,20,3,60,0.0817441304,0.09242
174,1000,2,1.5,20,15,40,0.0266325283,0.738902
175,1000,2,1.5,20,15,20,0.021885763,0.73685
176,1000,2,1.5,20,15,60,0.0242078719,0.730942
177,1000,2,1.5,10,7,40,0.0627243651,0.097617
178,1000,2,1.5,10,7,20,0.0416273141,0.584765
179,1000,2,1.5,10,7,60,0.0616754093,0.094423
180,1000,2,1.5,10,3,40,0.0739580556,0.092564
181,1000,2,1.5,10,3,20,0.067395958,0.092344
182,1000,2,1.5,10,3,60,0.0839849263,0.092621
183,1000,2,1.5,30,7,40,0.0559566088,0.090776
184,1000,2,1.5,30,7,20,0.0389945918,0.575442
185,1000,2,1.5,30,7,60,0.0509990374,0.092989
186,1000,2,1.5,30,3,40,0.0806607029,0.098758
187,1000,2,1.5,30,3,20,0.064758839,0.098836
188,1000,2,1.5,30,3,60,0.0823113424,0.089909
189,1000,2,1.5,30,15,40,0.0208277653,0.728922
190,1000,2,1.5,30,15,20,0.0187365181,0.724655
191,1000,2,1.5,30,15,60,0.0221576259,0.728507
192,1000,2,1.05,20,7,40,0.0526095465,0.099295
193,1000,2,1.05,20,7,20,0.0461819535,0.097512
194,1000,2,1.05,20,7,60,0.0482309308,0.095856
195,1000,2,1.05,20,3,40,0.0657662834,0.094921
196,1000,2,1.05,20,3,20,0.0493850034,0.573158
197,1000,2,1.05,20,3,60,0.0643273107,0.094163
198,1000,2,1.05,20,15,40,0.0294405113,0.746892
199,1000,2,1.05,20,15,20,0.0247564365,0.733975
200,1000,2,1.05,20,15,60,0.0277806338,0.751242
201,1000,2,1.05,10,7,40,0.0569737789,0.102879
202,1000,2,1.05,10,7,20,0.0530321145,0.096607
203,1000,2,1.05,10,7,60,0.0591500567,0.098349
204,1000,2,1.05,10,3,40,0.0646679909,0.092678
205,1000,2,1.05,10,3,20,0.0565318333,0.092815
206,1000,2,1.05,10,3,60,0.0605048413,0.093871
207,1000,2,1.05,30,7,40,0.0596499104,0.099333
208,1000,2,1.05,30,7,20,0.052227534,0.094834
209,1000,2,1.05,30,7,60,0.0587326145,0.097057
